Home_team,Away_team,Home_team_win,Draw,Away_team_win
Burnley,Watford,2.25,3.35,3.35
West Ham,Watford,1.40,4.95,6.95
Newcastle,Everton,2.55,3.35,2.75
Burnley,Man United,5.70,4.10,1.56
Manchester City,Brentford,1.11,9.15,21.00
Norwich,Crystal Palace,3.40,3.35,2.14
Tottenham,Southampton,1.64,4.00,5.00
Aston Villa,Leeds,1.91,3.75,3.70
Liverpool,Leicester City,1.27,6.15,9.00
Wolverhampton,Arsenal,3.35,3.25,2.20
Man United,Southampton,1.51,4.40,5.85
Watford,Brighton,3.45,3.20,2.18
Brentford,Crystal Palace,2.60,3.10,2.85
Everton,Leeds,2.29,3.40,3.05
Norwich,Manchester City,15.00,7.25,1.17
Tottenham,Wolverhampton,1.76,3.55,4.75
Burnley,Liverpool,8.15,5.05,1.35
Newcastle,Aston Villa,3.05,3.35,2.30
Leicester City,West Ham,2.85,3.40,2.41
