Home_team,Away_team,Home_team_win,Draw,Away_team_win
Northampton,Colchester,1.71,3.45,5.00
Hartlepool Utd,Sutton United,2.70,3.10,2.65
Harrogate Town,Leyton Orient,2.25,3.25,3.15
Oldham Athletic,Bradford,3.10,3.25,2.25
Carlisle Utd,Swindon Town,3.05,3.45,2.20
Exeter City,Barrow,1.68,3.65,4.90
Forest Green Rovers,Walsall,1.57,4.00,5.75
Newport County,Mansfield Town,2.20,3.25,3.25
Salford City,Crawley,2.10,3.45,3.35
Scunthorpe United,Rochdale,3.30,3.25,2.20
Stevenage,Bristol Rovers,2.40,3.20,2.95
Tranmere,Port Vale,2.55,3.05,2.85
