Home_team,Away_team,Home_team_win,Draw,Away_team_win
Northampton Town,Colchester United,1.77,3.60,4.33
Newport County AFC,Mansfield Town,2.15,3.30,3.20
Oldham Athletic,Bradford City,2.90,3.25,2.35
Exeter City,Barrow AFC,1.70,3.60,5.00
Forest Green Rovers,Walsall,1.57,4.00,5.50
Tranmere Rovers,Port Vale,2.55,3.10,2.80
Scunthorpe United,Rochdale,3.30,3.25,2.15
Stevenage FC,Bristol Rovers,2.37,3.10,3.10
Salford City FC,Crawley Town,2.05,3.40,3.40
Hartlepool United FC,Sutton United FC,2.60,3.10,2.70
Carlisle United,Swindon Town,3.00,3.30,2.25
Harrogate Town FC,Leyton Orient,2.30,3.20,3.10
