Home_team,Away_team,Home_team_win,Draw,Away_team_win
Northampton,Colchester,1.72,3.35,4.60
Carlisle United,Swindon,3.10,3.15,2.17
Tranmere,Port Vale,2.47,3.00,2.75
Oldham,Bradford,3.00,3.15,2.22
Exeter,Barrow,1.64,3.60,4.80
Newport County Afc,Mansfield,2.12,3.20,3.15
Stevenage,Bristol Rovers,2.35,3.05,2.87
Scunthorpe United FC,Rochdale,3.25,3.10,2.12
Harrogate Town AFC,Leyton Orient,2.20,3.15,3.05
Hartlepool,Sutton United FC,2.60,3.00,2.60
Salford City FC,Crawley,2.00,3.30,3.35
Forest Green,Walsall,1.53,3.80,5.50
Swindon,Walsall,1.83,3.35,3.90
Rochdale,Port Vale,2.15,3.20,3.10
Leyton Orient,Bristol Rovers,2.20,3.15,3.05
Scunthorpe United FC,Northampton,3.50,3.20,1.99
Colchester,Hartlepool,2.42,3.15,2.72
Bradford,Harrogate Town AFC,2.17,3.15,3.10
