Home_team,Away_team,Home_team_win,Draw,Away_team_win
Northampton Town,Colchester United,1.70,3.65,4.80
Carlisle,Swindon Town,3.20,3.20,2.25
Exeter,Barrow,1.62,3.70,5.30
Forest Green Rovers,Walsall,1.55,4.00,5.75
Harrogate Town,Leyton Orient,2.20,3.40,3.10
Hartlepool United,Sutton United,2.63,3.10,2.75
Newport County,Mansfield Town,2.18,3.20,3.35
Oldham Athletic,Bradford City,3.05,3.25,2.32
Salford City FC,Crawley Town,2.05,3.45,3.45
Scunthorpe United,Rochdale,3.40,3.25,2.15
Stevenage FC,Bristol Rovers,2.40,3.20,2.95
Tranmere Rovers,Port Vale,2.55,3.05,2.85
