Home_team,Away_team,Home_team_win,Draw,Away_team_win
Northampton Town,Colchester United,1.781,3.570,5.150
Oldham Athletic,Bradford City,3.250,3.280,2.310
Stevenage,Bristol Rovers,2.500,3.100,3.110
Tranmere Rovers,Port Vale,2.640,3.090,2.930
Exeter City,Barrow,1.680,3.820,5.210
Carlisle,Swindon Town,3.240,3.560,2.200
Hartlepool United,Sutton United,2.710,3.160,2.800
Harrogate Town,Leyton Orient,2.230,3.380,3.340
Forest Green Rovers,Walsall,1.574,4.020,6.000
Salford City,Crawley Town,2.080,3.660,3.430
Scunthorpe United,Rochdale,3.620,3.240,2.170
Newport County,Mansfield,2.200,3.340,3.430
