Home_team,Away_team,Home_team_win,Draw,Away_team_win
Northampton Town,Colchester United,1.70,3.75,5.00
Forest Green Rovers,Walsall,1.55,4.00,5.75
Exeter,Barrow,1.62,3.80,5.50
Harrogate Town,Leyton Orient,2.20,3.45,3.15
Carlisle,Swindon Town,3.25,3.25,2.25
Tranmere Rovers,Port Vale,2.58,3.10,2.85
Stevenage FC,Bristol Rovers,2.40,3.25,2.95
Oldham Athletic,Bradford City,3.10,3.30,2.35
Scunthorpe United,Rochdale,3.45,3.30,2.15
Newport County,Mansfield Town,2.20,3.25,3.40
Salford City FC,Crawley Town,2.05,3.50,3.50
Hartlepool United,Sutton United,2.65,3.15,2.75
