Home_team,Away_team,Home_team_win,Draw,Away_team_win
West Ham United,Newcastle United,"1,70","3,80","5,00"
Arsenal,Brentford,"1,47","4,50","7,00"
Aston Villa,Watford,"1,65","3,80","5,50"
Brighton,Burnley,"1,66","3,75","5,50"
Crystal Palace,Chelsea,"5,50","3,80","1,65"
Liverpool,Norwich City,"1,11","9,00","26,00"
Southampton,Everton,"2,05","3,60","3,50"
Manchester City,Tottenham,"1,28","6,00","10,00"
Leeds,Manchester United,"3,80","3,80","1,90"
Wolverhampton,Leicester City,"2,30","3,25","3,25"
Burnley,Tottenham,"4,20","3,50","1,90"
Watford,Crystal Palace,"3,40","3,30","2,20"
Liverpool,Leeds,"1,16","8,00","15,00"
