Home_team,Away_team,Home_team_win,Draw,Away_team_win
Burnley FC,Watford FC,2.15,3.30,3.40
West Ham United FC,Watford FC,1.41,4.80,7.25
Newcastle United,Everton FC,2.65,3.30,2.60
Burnley FC,Manchester United FC,6.25,4.10,1.53
Norwich City FC,Crystal Palace FC,3.40,3.30,2.15
Manchester City,Brentford,1.13,8.75,23.00
Tottenham Hotspur FC,Southampton FC,1.58,4.10,5.75
Aston Villa,Leeds United,1.93,3.90,3.50
Liverpool FC,Leicester City,1.27,6.25,9.50
Wolverhampton Wanderers FC,Arsenal FC,3.60,3.20,2.15
Manchester United FC,Southampton FC,1.50,4.50,6.00
Brentford,Crystal Palace FC,2.65,3.10,2.75
Everton FC,Leeds United,2.20,3.70,3.00
Watford FC,Brighton & Hove Albion FC,3.50,3.30,2.10
Norwich City FC,Manchester City,16.00,7.00,1.19
Tottenham Hotspur FC,Wolverhampton Wanderers FC,1.80,3.60,4.50
Newcastle United,Aston Villa,3.00,3.50,2.25
Burnley FC,Liverpool FC,8.25,5.00,1.36
Leicester City,West Ham United FC,2.70,3.60,2.40
