Home_team,Away_team,Home_team_win,Draw,Away_team_win
West Ham,Newcastle,1.70,4.05,4.90
Arsenal,Brentford,1.47,4.50,7.25
Crystal Palace,Chelsea,5.40,3.95,1.66
Brighton,Burnley,1.68,3.75,5.55
Southampton,Everton,2.12,3.60,3.45
Aston Villa,Watford,1.65,4.05,5.35
Liverpool,Norwich,1.12,9.85,23.00
Manchester City,Tottenham,1.30,5.80,9.85
Leeds,Man United,3.80,3.95,1.91
Wolverhampton,Leicester City,2.33,3.30,3.25
Watford,Crystal Palace,3.40,3.25,2.17
Burnley,Tottenham,4.10,3.45,1.90
Liverpool,Leeds,1.16,7.75,14.50
Arsenal,Wolverhampton,1.63,3.75,5.60
Southampton,Norwich,1.57,4.10,5.55
Leeds,Tottenham,3.35,3.45,2.12
Man United,Watford,1.32,5.30,8.75
Brighton,Aston Villa,2.33,3.25,3.10
Crystal Palace,Burnley,1.87,3.50,4.15
Brentford,Newcastle,2.32,3.30,3.05
Everton,Manchester City,9.95,5.75,1.27
West Ham,Wolverhampton,1.96,3.45,3.85
Burnley,Leicester City,3.10,3.20,2.13
