Home_team,Away_team,Home_team_win,Draw,Away_team_win
Burnley FC,Watford FC,2.20,3.15,3.45
Newcastle United FC,Everton FC,2.60,3.30,2.70
West Ham United FC,Watford FC,1.40,4.75,7.15
Burnley FC,Manchester United FC,6.00,4.00,1.55
Manchester City FC,Brentford,1.11,8.50,23.00
Norwich City FC,Crystal Palace FC,3.40,3.30,2.15
Tottenham Hotspur FC,Southampton FC,1.62,3.90,5.35
Aston Villa,Leeds United,1.85,3.80,3.90
Liverpool FC,Leicester City FC,1.27,6.15,9.00
Wolverhampton Wanderers FC,Arsenal FC,3.40,3.20,2.20
