Home_team,Away_team,Home_team_win,Draw,Away_team_win
Burnley,Watford,2.220,3.210,3.690
Newcastle United,Everton,2.650,3.430,2.740
West Ham United,Watford,1.411,5.190,7.310
Burnley,Manchester United,6.230,4.180,1.568
Tottenham Hotspur,Southampton,1.636,4.020,5.460
Norwich City,Crystal Palace,3.470,3.470,2.160
Manchester City,Brentford,1.109,9.970,24.560
Aston Villa,Leeds United,1.869,3.920,3.990
Liverpool,Leicester City,1.258,6.480,9.860
Wolves,Arsenal,3.520,3.340,2.200
Manchester United,Southampton,1.505,4.480,5.940
Brentford,Crystal Palace,2.650,3.020,2.930
Watford,Brighton and Hove Albion,3.530,3.220,2.190
Everton,Leeds United,2.290,3.640,2.950
Norwich City,Manchester City,15.780,7.130,1.168
Tottenham Hotspur,Wolves,1.735,3.600,4.980
Newcastle United,Aston Villa,3.140,3.360,2.300
Burnley,Liverpool,8.860,5.090,1.336
Leicester City,West Ham United,2.730,3.630,2.450
