Home_team,Away_team,Home_team_win,Draw,Away_team_win
Burnley,Watford,2.25,3.30,3.40
West Ham,Watford,1.41,5.05,7.10
Newcastle United,Everton,2.60,3.40,2.70
Burnley,Manchester United,6.00,4.20,1.55
Norwich City,Crystal Palace,3.30,3.40,2.20
Tottenham,Southampton,1.63,4.10,5.25
Manchester City,Brentford,1.12,9.80,24.00
Aston Villa,Leeds United,1.92,3.85,3.75
Liverpool,Leicester City,1.27,6.30,9.50
Wolverhampton Wanderers,Arsenal,3.40,3.30,2.20
Manchester United,Southampton,1.48,4.50,6.50
Brentford,Crystal Palace,2.70,3.15,2.75
Everton,Leeds United,2.25,3.45,3.15
Watford,Brighton & Hove Albion,3.65,3.30,2.12
Norwich City,Manchester City,17.50,7.75,1.17
Burnley,Liverpool,9.00,5.00,1.35
Newcastle United,Aston Villa,3.25,3.50,2.20
Tottenham,Wolverhampton Wanderers,1.75,3.65,4.85
Leicester City,West Ham,2.70,3.55,2.50
